Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
K Neighbors Classifier,0.8938,0.8405,0.3787,0.4032,0.3903,0.3322,0.3326,2.766
Light Gradient Boosting Machine,0.6863,0.8906,0.913,0.2386,0.3613,0.254,0.3589,7.176
Extra Trees Classifier,0.675,0.895,0.9557,0.2292,0.3578,0.2478,0.3641,5.09
Random Forest Classifier,0.6747,0.8957,0.9541,0.2279,0.3561,0.246,0.3625,5.343
Decision Tree Classifier,0.6477,0.8933,0.9903,0.2022,0.3359,0.2193,0.3482,1.831
Extreme Gradient Boosting,0.6459,0.895,0.9911,0.2015,0.3349,0.2181,0.3473,2.049
Gradient Boosting Classifier,0.5673,0.8387,0.9507,0.1664,0.2833,0.1538,0.2748,6.141
Ada Boost Classifier,0.583,0.7775,0.811,0.1627,0.2652,0.1364,0.2218,2.776
Logistic Regression,0.5908,0.6713,0.629,0.1308,0.2166,0.0796,0.1248,5.383
Ridge Classifier,0.5737,0.6653,0.6387,0.1273,0.2123,0.0734,0.1185,1.845
Linear Discriminant Analysis,0.5721,0.6647,0.6375,0.1267,0.2113,0.0721,0.1168,1.382
Quadratic Discriminant Analysis,0.3363,0.632,0.955,0.1152,0.2056,0.0537,0.1512,1.622
Naive Bayes,0.2593,0.6516,0.986,0.1071,0.1931,0.0369,0.1316,1.619
SVM - Linear Kernel,0.4896,0.586,0.6559,0.1102,0.1871,0.0404,0.081,1.739
Dummy Classifier,0.9101,0.5,0.0,0.0,0.0,0.0,0.0,1.591
